"musicalon_name","musicalon_location","musicalon_date","musicalon_missingdate"
"山水实景《印象西湖.最忆是杭州》","杭州 | 杭州市西湖区北山路86号(岳王庙正对面)印象西湖演出现场","2019.09.28-10.31",""
"音乐剧《火花》","太原 | 太原青年宫演艺中心","2019.11.01-11.02",""
"七幕人生出品 法国音乐剧《放牛班的春天》中文版 天籁童声 重温感动","北京 | 海淀剧院","2019.09.27-09.29",""
"英国皇家歌剧院高清影像呈现《茶花女》","成都 | 西婵峨影巨幕厅","2019.11.17 周日 14:30",""
"岭南风华﹒我爱你中国 广东省庆祝中华人民共和国成立70周年舞台艺术精品展——“不忘初心，春华秋实”","广州 | 广州友谊剧院","2019.10.29-10.30",""
"法语原版音乐剧《巴黎圣母院》","珠海 | 珠海华发中演大剧院 横琴歌剧厅","2019.11.29-12.01",""
"沉浸式经典悬疑广播剧《声临阿加莎》","深圳 | 万象天地剧场","2019.11.22-11.23",""
"李玉刚诗意歌舞剧《昭君出塞》","艺人：李玉刚","上海 | 上海保利大剧院-大剧场","2019.10.26-10.27"
"就有戏·2019名家名剧展演季 音乐话剧《遇见自己》","艺人：萧煌奇","南宁 | 广西文化艺术中心(保利)大剧院","2019.10.07 周一 20:00"
"2019西溪国际艺术节|伦敦国际默剧节封面推荐剧目、爱丁堡前沿剧展独家引进·全国巡演主办《也许，也许，也许》","杭州 | 西溪天堂艺术中心","2019.10.18-10.20",""
"经典回响——西湖之声第六届名家名篇朗诵会","艺人：杨立新","杭州 | 杭州剧院","2019.10.27 周日 19:30"
"杨丽萍作品大型舞剧《春之祭》惠州站","惠州 | 惠州文化艺术中心","2019.11.12-11.13",""
"法语音乐剧《巴黎圣母院》武汉站","武汉 | 武汉琴台大剧院","2019.12.26-12.29",""
"孟京辉经典戏剧作品《恋爱的犀牛》太原站","太原 | 山西大剧院","2019.10.18-10.19",""
"俄罗斯皇家芭蕾舞剧院《天鹅湖》","太原 | 太原青年宫演艺中心","2019.12.22 周日 19:30",""
"我的遗愿清单","每个人都有在离开前一定要实现的愿望，在生命尽头铺展开的故事。","苏州 | 苏州文化艺术中心","2019.09.27-09.28"
"原版经典音乐剧《猫》CATS-广州站","广州 | 广州白云国际会议中心世纪大会堂","2019.10.11-10.20",""
"百老汇经典音乐剧《音乐之声》中文版","绍兴 | 绍兴大剧院","2019.12.14 周六 19:30",""
"杨丽萍作品-舞蹈剧场《春之祭》","太原 | 山西大剧院","2019.12.12-12.13",""
"法语音乐剧《摇滚红与黑》-北京站","北京 | 世纪剧院","2019.10.25-11.03",""
"《乐动敦煌》","兰州 | ""乐动敦煌""沉浸式移动剧场","2019.10.03-10.25",""
"莫斯科轻歌剧院呈现《安娜·卡列尼娜》","成都 | 西婵峨影巨幕厅","2020.01.12 周日 14:30",""
"音乐剧《我们还能陪妈妈多久》 第二届山西艺术节","太原 | 星光剧院","2019.10.05 周六 19:30",""
"李玉刚诗意歌舞剧《昭君出塞》-昆山","艺人：李玉刚","苏州 | 昆山文化艺术中心-大剧场","2019.11.05 周二 19:30"
"音乐剧《我的遗愿清单》","河源 | 桃花水母大剧院","2019.12.05 周四 20:00",""
"伦敦西区原版音乐剧《玛蒂尔达》","北京 | 保利剧院","2019.11.21-11.29",""
"合肥·11月大型舞台剧《梦想的翅膀》","合肥 | 合肥大剧院多功能厅","2019.11.02-11.03",""
"音乐话剧《遇见自己》A Date With Me","重庆 | 重庆大剧院","2019.10.10 周四 19:30",""
"舞剧《一把酸枣》（武汉站）","武汉 | 武汉琴台大剧院","2019.11.13 周三 19:30",""
"岭南风华﹒我爱你中国 广东省庆祝中华人民共和国成立70周年舞台艺术精品展——汉剧《酒乡纪事》","广州 | 广州友谊剧院","2019.10.12 周六 20:00",""
"音乐剧《拉赫玛尼诺夫》","温州 | 温州大剧院","2019.12.30 周一 19:30",""
"陈少琪原创音乐剧《爱在星光里》一福州站","福州 | 福建会堂","2019.12.25 周三 19:30",""
"音乐剧《老虎来喝下午茶》","大连 | 大连人民文化俱乐部","2019.10.30 周三 19:00",""
"法国浪漫创意秀•成人版《牧神午后》","长沙 | 梅溪湖国际文化艺术中心大剧院-小剧场","2019.10.17-10.20",""
"年度震撼巨献——歌剧《卡门》","中山 | 中山市文化艺术中心大剧场","2019.11.30 周六 20:00",""
"家庭音乐剧《故宫里的大怪兽之吻兽使命》","福州 | 福建大剧院歌剧厅","2019.10.18 周五 20:00",""
"李玉刚诗意歌舞剧《昭君出塞》","艺人：李玉刚","宁波 | 宁波文化广场大剧院","2019.11.08-11.09"
"【高清放映】英国国家剧院现场NT-live 《哈姆雷特》 贵阳","贵阳 | 贵阳星光剧场","2019.12.07 周六 14:30",""
"伦敦西区原版音乐剧《玛蒂尔达》武汉站","武汉 | 武汉琴台大剧院","2019.11.02-11.07",""
"大型史诗级舞剧《杜甫》","昆明 | 云南海埂会堂","2019.11.09 周六 20:00",""
"2019紫金文化艺术节优秀剧目展演——音乐剧《淮海儿女》","南京 | 江苏荔枝大剧院","2019.10.25 周五 19:30",""
"沐澜文化·英国伦敦西区音乐剧《老虎来喝下午茶》--济南站","济南 | 山东剧院","2019.11.03 周日",""
"德国弗洛兹默剧剧团《生命无限好》","天津 | 天津大剧院歌剧厅","2019.10.26-10.27",""
"德国德累斯顿马戏剧院默剧《浮士德》——2019太湖文化艺术季 暨第二十一届中国上海国际艺术节无锡分会场参演剧目","无锡 | 无锡大剧院","2019.11.11 周一 19:30",""
"Mailive音乐剧《我的遗愿清单》中文版· 武汉站","武汉 | 中南剧场大剧场","2019.11.02-11.03",""
"李玉刚诗意歌舞剧《昭君出塞》中国歌剧舞剧院","艺人：李玉刚","宜春 | 宜春市文化艺术中心大剧院","2019.10.22 周二 19:30"
"2019优秀舞台艺术剧目惠民展演：西班牙舞蹈团全新打造剧场版《剧院魅影》","大连 | 大连人民文化俱乐部-大剧场","2019.11.20 周三 19:15",""
"音乐剧《故宫里的大怪兽之吻兽使命》","哈尔滨 | 哈尔滨大剧院歌剧厅","2019.10.04 周五",""
"舞剧《大饭店》","无锡 | 无锡大剧院","2019.12.29 周日 19:30",""
"周末歌剧 普契尼独幕歌剧《修女安洁丽卡》","广州 | 广州大剧院歌剧厅","2019.10.25-10.26",""
"百老汇原版音乐剧《芝加哥》","哈尔滨 | 哈尔滨大剧院歌剧厅","2019.11.12-11.17",""
"又见敦煌","酒泉 | 又见敦煌剧场","2019.09.27-10.31",""
